9489.28	Ne
9536.77	Ne
9550.02	Ne
9668.07	Ne
10298.24	Ne
10565.31	Ne
10801.03	Ne
10847.45	Ne
11146.07	Ne
11180.59	Ne
11393.56	Ne
11412.26	Ne
11525.90	Ne
11528.18	Ne
11539.51	Ne
11604.72	Ne
11617.26	Ne
11691.21	Ne
11770.02	Ne
11792.28	Ne
11793.12	Ne
11988.20	Ne
12069.64	Ne
12462.80	Ne
12692.68	Ne
12915.55	Ne
13222.86	Ne
15234.89	Ne
17166.63	Ne
18040.72	Ne
18088.15	Ne
18226.08	Ne
18232.00	Ne
18281.67	Ne
18287.61	Ne
18308.97	Ne
18364.13	Ne
18389.87	Ne
18394.97	Ne
18407.86	Ne
18427.42	Ne
18463.69	Ne
18480.83	Ne
18596.63	Ne
18602.78	Ne
18624.04	Ne
18630.24	Ne
21047.04	Ne
21714.07	Ne
22253.42	Ne
22434.25	Ne
22536.55	Ne
22668.00	Ne
23106.82	Ne
23266.65	Ne
23571.79	Ne
23642.97	Ne
23708.11	Ne
23715.67	Ne
23957.96	Ne
23963.00	Ne
23984.67	Ne
24105.12	Ne
24168.02	Ne
24371.70	Ne
24378.25	Ne
24454.52	Ne
24466.08	Ne
24783.22	Ne
24935.69	Ne
