9660.42	Ar
9787.18	Ar
9954.61	Ar
10032.40	Ar
10054.90	Ar
10071.80	Ar
10166.20	Ar
10256.80	Ar
10312.00	Ar
10335.60	Ar
10472.90	Ar
10481.00	Ar
10676.50	Ar
10684.70	Ar
10686.30	Ar
10703.90	Ar
10715.70	Ar
10736.80	Ar
10762.10	Ar
10776.30	Ar
10864.00	Ar
10883.90	Ar
10895.30	Ar
10953.70	Ar
10953.70	Ar
11081.90	Ar
11109.50	Ar
11396.80	Ar
11445.00	Ar
11470.70	Ar
11491.30	Ar
11690.80	Ar
11722.70	Ar
11736.50	Ar
11887.70	Ar
11899.90	Ar
11946.80	Ar
12115.50	Ar
12143.10	Ar
12154.90	Ar
12347.10	Ar
12360.20	Ar
12406.30	Ar
12442.60	Ar
12459.50	Ar
12491.00	Ar
12557.90	Ar
12705.90	Ar
12737.10	Ar
12737.10	Ar
12749.80	Ar
12749.80	Ar
12806.20	Ar
12806.20	Ar
12936.90	Ar
12960.10	Ar
13012.00	Ar
13232.10	Ar
13235.00	Ar
13276.70	Ar
13306.00	Ar
13334.00	Ar
13410.20	Ar
13502.90	Ar
13507.70	Ar
13577.30	Ar
13602.90	Ar
13829.80	Ar
13832.60	Ar
13911.20	Ar
13914.60	Ar
14261.40	Ar
14600.30	Ar
14638.10	Ar
14654.00	Ar
14743.10	Ar
15034.80	Ar
15050.50	Ar
15176.50	Ar
15306.40	Ar
15333.80	Ar
15353.70	Ar
15357.70	Ar
15406.80	Ar
15821.00	Ar
15887.60	Ar
15904.30	Ar
15993.70	Ar
16127.40	Ar
16441.40	Ar
16524.70	Ar
16554.30	Ar
16744.50	Ar
16945.00	Ar
17449.70	Ar
17828.80	Ar
17892.20	Ar
17919.30	Ar
18423.00	Ar
18432.70	Ar
18434.30	Ar
18569.80	Ar
18575.60	Ar
18637.30	Ar
19823.00	Ar
19950.30	Ar
19971.20	Ar
20031.40	Ar
20075.10	Ar
20322.40	Ar
20574.10	Ar
20621.90	Ar
20652.80	Ar
20739.00	Ar
20816.80	Ar
20991.80	Ar
21339.10	Ar
21540.10	Ar
22045.60	Ar
22083.20	Ar
22119.30	Ar
23139.60	Ar
23851.70	Ar
23973.30	Ar
