-500.  180. 0		# mask x,y;  NB in arcsec on sky; sense depends on this
-500.  332. 1
-460.  385. -1
-420.  428. -1
-360.  480. -1
 360.  480. -1
 420.  428. -1
 460.  385. -1
 500.  332. -1
 500.  180. -1
-500.  180. -1
   0.  320. 0 		# TV x,y
-210.  320. 3
-210.  110.
   0.  110.
   0.  320.
 254.  180. 0		# Gaps
 254.  480. 2
 246.  480.
 246.  180.
   4.  180. 0
   4.  480. 2
  -4.  480.
  -4.  180.
-246.  180. 0
-246.  480. 2
-254.  480.
-254.  180.
