# OBJNO  RA    DEC     MAGR   SLITPA    TOPDIST    BOTDIST
#  J    E      E      E      E      E      E
26852 2.141538E+02 5.217514E+01 2.330598E+01  0.000000 3.039032 2.853638
26887 2.141644E+02 5.214701E+01 2.371476E+01  30.00000 1.892334 3.766876
26900 2.141695E+02 5.213920E+01 2.442598E+01  0.000000 3.780609 1.741272
26933 2.141376E+02 5.215396E+01 2.365721E+01  0.000000 2.640778 6.602722
26935 2.141579E+02 5.214820E+01 2.256886E+01  0.000000 3.272491 1.892334
26943 2.141711E+02 5.213809E+01 2.416721E+01  0.000000 1.741272 5.854279
26966 2.141331E+02 5.217696E+01 2.367771E+01  0.000000 2.331787 3.039032
26978 2.141167E+02 5.217090E+01 2.243934E+01  0.000000 4.274994 4.350525
27017 2.141324E+02 5.214478E+01 2.284742E+01 -2.151522 3.766876 5.758148
27031 2.141328E+02 5.217341E+01 2.276340E+01  15.45908 2.853638 4.274994
27053 2.141484E+02 5.216834E+01 2.261585E+01 -9.290129 4.350525 3.039032
27058 2.141382E+02 5.215707E+01 2.354357E+01  30.00000 8.607727 2.448517
27075 2.141240E+02 5.218939E+01 2.312302E+01  0.000000 2.647644 1.480347
27078 2.141284E+02 5.218668E+01 2.272770E+01 -19.10930 2.576833 2.576833
27091 2.141171E+02 5.217989E+01 2.311217E+01 -35.76450 1.520903 2.441650
27109 2.141575E+02 5.216391E+01 2.255982E+01 -30.00000 4.432922 3.217560
27111 2.141404E+02 5.216199E+01 2.325781E+01  0.000000 3.217560 8.607727
27118 2.141553E+02 5.215557E+01 2.406207E+01  0.000000 2.448517 2.640778
33323 2.141953E+02 5.220318E+01 2.502854E+01  0.000000 1.782471 2.015930
33644 2.141871E+02 5.223676E+01 2.392278E+01  0.000000 1.768738 2.984100
33727 2.141359E+02 5.223953E+01 2.378429E+01  0.000000 1.471825 2.716309
33745 2.141290E+02 5.222303E+01 2.398429E+01  0.000000 -0.3383179 7.667023
33761 2.141359E+02 5.224001E+01 2.339934E+01  0.000000 4.412323 1.599135
33787 2.141385E+02 5.221097E+01 2.394916E+01  0.000000 .9567468 1.755005
33910 2.140972E+02 5.222636E+01 2.284506E+01 -2.066380 4.666382 2.283722
33970 2.141476E+02 5.221436E+01 2.398578E+01  0.000000 1.981598 2.524048
33974 2.141434E+02 5.224973E+01 2.313672E+01  0.000000 8.388000 1.885468
34023 2.141475E+02 5.220986E+01 2.367780E+01  0.000000 1.755005 3.574615
34095 2.141489E+02 5.221560E+01 2.344477E+01  0.000000 1.960999 1.981598
34104 2.141363E+02 5.220645E+01 2.362089E+01  0.000000 2.057129 3.608948
34116 2.141442E+02 5.220036E+01 2.430024E+01  0.000000 2.565247 6.410461
34150 2.141207E+02 5.223080E+01 2.422337E+01 -30.00000 2.386719 2.826172
34188 2.141492E+02 5.224750E+01 2.459014E+01  0.000000 1.617676 2.318054
34189 2.141106E+02 5.224607E+01 2.306705E+01  0.000000 2.318054 1.679474
34192 2.141147E+02 5.224500E+01 2.337493E+01  0.000000 1.679474 4.082733
34198 2.141216E+02 5.224260E+01 2.423704E+01  0.000000 4.082733 4.412323
34210 2.141393E+02 5.223497E+01 2.264327E+01  0.000000 2.984100 4.604584
34236 2.141394E+02 5.221157E+01 2.309079E+01  0.000000 1.981598 1.210913
34253 2.141507E+02 5.219666E+01 2.336741E+01  0.000000 6.410461 1.837402
34257 2.141582E+02 5.219550E+01 2.357946E+01  30.00000 1.837402 7.838684
34275 2.141809E+02 5.222496E+01 2.269615E+01  0.000000 2.283722 2.050262
34276 2.141284E+02 5.222368E+01 2.247882E+01  0.000000 2.050262 1.246099
34279 2.141641E+02 5.221863E+01 2.350727E+01  0.000000 7.667023 3.004700
34281 2.141162E+02 5.221682E+01 2.413360E+01  30.00000 3.004700 1.960999
34283 2.141146E+02 5.221281E+01 2.248236E+01  0.000000 2.524048 1.981598
34286 2.141177E+02 5.220431E+01 2.261400E+01  0.000000 3.608948 1.782471
34297 2.141452E+02 5.224854E+01 2.251100E+01  0.000000 1.885468 1.617676
34316 2.141814E+02 5.223788E+01 2.373085E+01  0.000000 2.716309 1.768738
34323 2.141511E+02 5.223227E+01 2.292906E+01  30.00000 4.604584 2.386719
34332 2.141510E+02 5.222910E+01 2.402487E+01  0.000000 2.826172 4.666382
34357 2.141183E+02 5.220773E+01 2.292381E+01  0.000000 3.574615 2.057129
34366 2.141564E+02 5.220192E+01 2.361139E+01  30.00000 2.015930 2.565247
40649 2.141906E+02 5.226061E+01 2.290348E+01  0.000000 1.954132 1.631409
41028 2.141863E+02 5.227711E+01 2.241400E+01  0.000000 2.366119 2.256256
41412 2.141085E+02 5.228556E+01 2.349902E+01  0.000000 7.324219E-03 3.629547
41419 2.141074E+02 5.228206E+01 2.314516E+01  0.000000 2.160126 2.688843
41468 2.141423E+02 5.225452E+01 2.424589E+01  0.000000 3.217560 8.388000
41559 2.141278E+02 5.228043E+01 2.280263E+01  0.000000 2.688843 3.107697
41564 2.141136E+02 5.227572E+01 2.373088E+01  0.000000 2.256256 1.940399
41575 2.141799E+02 5.226850E+01 2.325900E+01  0.000000 1.665741 2.221924
41591 2.141203E+02 5.225645E+01 2.297036E+01  30.00000 5.353027 3.217560
41616 2.141113E+02 5.227856E+01 2.284485E+01  0.000000 3.107697 2.366119
41618 2.141548E+02 5.227290E+01 2.230295E+01 -13.99648 3.163986 3.416687
41620 2.141089E+02 5.226712E+01 2.218354E+01  0.000000 2.504044 2.504044
41621 2.141555E+02 5.226590E+01 2.289064E+01  0.000000 1.954132 5.462891
41626 2.141477E+02 5.226183E+01 2.303022E+01  0.000000 1.356750 1.954132
41665 2.141323E+02 5.228340E+01 2.236960E+01  0.000000 3.629547 2.160126
41680 2.141080E+02 5.227450E+01 2.239671E+01  0.000000 1.940399 2.627045
41686 2.141476E+02 5.227087E+01 2.170531E+01  0.000000 3.416687 2.098328
41687 2.141552E+02 5.226956E+01 2.199786E+01  0.000000 2.098328 1.704462
41696 2.141166E+02 5.226273E+01 2.346275E+01  0.000000 5.462891 1.752970
41705 2.141207E+02 5.225956E+01 2.229349E+01  0.000000 1.631409 5.353027
13099 2.141377E+02 5.207124E+01 2.096685E+01  0.000000 1.500000 1.500000
34340 2.141161E+02 5.222349E+01 2.152264E+01  0.000000 1.500000 1.500000
