
        OBJNO             RA            DEC           MAGR         SLITPA        TOPDIST        BOTDIST
            J              E              E              E              E              E              E
                                                                                                       
        25439   2.143321E+02   5.215028E+01   2.378075E+01   0.000000E+00   5.422788E+00   3.722880E+00
        25515   2.143116E+02   5.214524E+01   2.478995E+01  -2.924001E+01   4.726940E+00   2.960721E+00
        25525   2.143167E+02   5.213799E+01   2.340621E+01   9.663354E+00   2.127555E+00   2.191074E+00
        25527   2.143698E+02   5.219310E+01   2.321866E+01  -1.415491E+01   3.358893E+00   3.149751E+00
        25533   2.143695E+02   5.218829E+01   2.280803E+01   0.000000E+00   4.761075E+00   2.740407E+00
        25554   2.143540E+02   5.217691E+01   2.376876E+01  -3.000000E+01   2.364375E+00   7.252799E+00
        25583   2.143385E+02   5.215841E+01   2.311283E+01   0.000000E+00   4.372297E+00   1.855536E+00
        25657   2.143516E+02   5.215714E+01   2.354926E+01   3.000000E+01   2.231256E+00   2.113406E+00
        25702   2.143405E+02   5.217024E+01   2.347706E+01   2.435323E+01   4.856001E+00   1.892334E+00
        25717   2.143087E+02   5.215339E+01   2.343148E+01   3.000000E+01   3.853902E+00   5.255802E+00
        25726   2.143432E+02   5.214806E+01   2.371012E+01  -3.000000E+01   3.769674E+00   4.949146E+00
        25757   2.143331E+02   5.218508E+01   2.175825E+01   0.000000E+00   2.422934E+00   5.554110E+00
        25759   2.143439E+02   5.218171E+01   2.337536E+01  -7.850496E+00   6.072050E+00   1.576477E+00
        25767   2.143504E+02   5.216776E+01   2.175403E+01   1.270963E+01   2.516844E+00   2.568199E+00
        25772   2.143461E+02   5.216109E+01   2.370711E+01   0.000000E+00   2.648480E+00   4.768206E+00
        25811   2.143397E+02   5.217274E+01   2.214055E+01   0.000000E+00   7.257272E+00   3.652787E+00
        25845   2.143315E+02   5.214342E+01   2.357880E+01  -3.000000E+01   3.089877E+00   7.115899E+00
        25849   2.143636E+02   5.213931E+01   2.252966E+01   0.000000E+00   7.160712E+00   2.137765E+00
        32068   2.143793E+02   5.221188E+01   2.443986E+01   0.000000E+00   2.700017E+00   3.001009E+00
        32135   2.143820E+02   5.221613E+01   2.409346E+01   0.000000E+00   4.836747E+00   2.807787E+00
        32219   2.144079E+02   5.222396E+01   2.466814E+01   0.000000E+00   2.487020E+00   2.183920E+00
        32282   2.143844E+02   5.221396E+01   2.229755E+01   0.000000E+00   4.506239E+00   4.270686E+00
        32378   2.144062E+02   5.223228E+01   2.373264E+01  -2.089289E+01   3.506485E+00   3.627036E+00
        32469   2.143656E+02   5.222718E+01   2.395208E+01   0.000000E+00   2.706404E+00   2.365040E+00
        32505   2.143272E+02   5.225043E+01   2.229248E+01   0.000000E+00   7.178514E+00   4.668579E+00
        32609   2.143518E+02   5.220333E+01   2.424453E+01   0.000000E+00   5.916578E+00   6.254983E+00
        32654   2.143331E+02   5.223437E+01   2.258747E+01   0.000000E+00   2.673538E+00   3.505417E+00
        32766   2.143621E+02   5.219973E+01   2.336856E+01   0.000000E+00   6.236350E+00   3.705673E+00
        32829   2.143113E+02   5.224598E+01   2.328252E+01   0.000000E+00   6.357727E+00   2.136567E+00
        32835   2.143324E+02   5.224229E+01   2.405598E+01   2.317724E+01   4.310321E+00   2.849427E+00
        32844   2.143408E+02   5.223589E+01   2.290611E+01   0.000000E+00   2.844928E+00   2.278428E+00
        32855   2.143438E+02   5.222897E+01   2.399840E+01  -2.575768E+01   2.182440E+00   3.220598E+00
        32860   2.143461E+02   5.222567E+01   2.225724E+01   0.000000E+00   2.586926E+00   3.137858E+00
        32867   2.143355E+02   5.221908E+01   2.350636E+01   2.767054E+01   5.767681E+00   5.278792E+00
        32882   2.143384E+02   5.220684E+01   2.328188E+01   2.945340E+01   5.229398E+00   6.203967E+00
        32898   2.143377E+02   5.219737E+01   2.241078E+01  -3.000000E+01   4.281266E+00   2.974405E+00
        32904   2.143376E+02   5.220998E+01   2.342116E+01  -2.965613E+01   3.365446E+00   5.559054E+00
        32917   2.143302E+02   5.223016E+01   2.266461E+01   2.424658E+01   3.535928E+00   1.602228E+00
